input,output,category_encoded
Main complaint register karna chahta hoon ki road par obstacles hain jiski wajah se wheelchair users ko pass hone mein problem hoti hai.,accessibility,0
स्कूल में छात्रों के लिए कंप्यूटर की सुविधा बहुत सीमित है।,education,2
मैं शिकायत दर्ज करना चाहता हूं कि हमारे क्षेत्र का सरकारी कार्यालय समय पर सेवाएं उपलब्ध नहीं कराता है।,public administration,6
Farmers ko crop procurement ke liye bahut long wait karna padta hai.,agriculture,1
There is a serious issue that there is no proper library facility available for students.,education,2
किसानों के लिए कृषि मशीनरी की उपलब्धता बहुत कम है।,agriculture,1
अस्पताल की लैब समय पर जांच रिपोर्ट उपलब्ध नहीं कराती है।,healthcare,5
Please meri complaint register karein ki community water tank damaged hai aur repair ki zarurat hai.,water related,9
The water supplied to our locality contains visible dirt.,water related,9
मैं इस समस्या से परेशान हूं क्योंकि हमारे क्षेत्र की सड़कें बहुत खराब हैं और मरम्मत की जरूरत है।,urban development,8
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि हमारे क्षेत्र में खुले में बहुत अधिक कचरा फेंका जा रहा है।,environment,4
सरकारी कार्यालय में उचित कतार व्यवस्था नहीं है।,public administration,6
Residents are receiving dirty water from the municipal pipeline.,water related,9
"Log open mein garbage burn kar rahe hain, jiski wajah se air pollution ho raha hai.",environment,4
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि नई बनी सड़क पर पहले से ही दरारें पड़ गई हैं।,urban development,8
Hamare area ka public park properly maintained nahi hai.,urban development,8
I want to report that the application status is not being updated by the concerned department.,public administration,6
Roadside par bahut zyada plastic waste pada hua hai.,environment,4
The public park in our area is poorly maintained.,urban development,8
Hamare area mein garbage collection service regular nahi hai.,environment,4
There is a serious accessibility issue: the road has obstacles that make it difficult for wheelchair users to pass.,accessibility,0
There is a loose electricity wire hanging near the road.,energy,3
शिक्षा विभाग ने स्कूल से जुड़ी बार-बार की शिकायतों का समाधान नहीं किया है।,education,2
There are parked vehicles blocking the accessible footpath.,accessibility,0
The government office staff are not responding to citizen queries.,public administration,6
Government hospital ke toilets dirty hain aur proper maintenance nahi hoti.,healthcare,5
Citizens have to visit the government office multiple times for the same service.,public administration,6
The street infrastructure in our neighbourhood is poorly maintained.,urban development,8
खराब जल निकासी के कारण बारिश का पानी सड़कों पर जमा हो जाता है।,urban development,8
Young people in the village do not have access to affordable skill development.,rural livelihood,7
Scholarship payments for eligible students have not been received.,education,2
Hamare locality ka footpath broken hai aur use karna difficult hai.,urban development,8
Ye ek serious agriculture-related issue hai: small farmers ke liye fertilizer prices bahut high hain.,agriculture,1
स्थानीय सरकारी कार्यालय में बहुत लंबे समय तक इंतजार करना पड़ता है।,public administration,6
Garbage dumping area se bahut strong foul smell aa rahi hai.,environment,4
स्वास्थ्य केंद्र का प्रतीक्षालय बहुत अधिक भीड़भाड़ वाला है।,healthcare,5
The area has very poor waste segregation facilities.,environment,4
मैं इस समस्या से परेशान हूं क्योंकि पीने के पानी की पाइपलाइन दूषित हो गई है।,water related,9
सरकारी कार्यालय में उचित कतार व्यवस्था नहीं है।,public administration,6
अस्पताल में मरीजों को बहुत लंबे समय तक इंतजार करना पड़ता है।,healthcare,5
The public park in our area is poorly maintained.,urban development,8
There is a strong foul smell from the garbage dumping area.,environment,4
The pedestrian crossing does not have an accessible signal.,accessibility,0
"Hamare area mein issue ye hai ki school ki electricity supply reliable nahi hai, jiski wajah se classes affect hoti hain.",education,2
हमारे गांव की महिला उद्यमियों को उचित संस्थागत सहायता नहीं मिल रही है।,rural livelihood,7
There is no lift in the public building for people who cannot use stairs.,accessibility,0
Residents in our village are facing a problem because small rural businesses are not receiving adequate government support.,rural livelihood,7
School ki boundary wall damaged hai aur safety issue create kar rahi hai.,education,2
Please complaint register karein ki mere area ke government school mein proper classroom facility nahi hai.,education,2
Please report that there is no proper classroom facility in the government school in my area.,education,2
हमारे गांव में युवाओं के लिए उचित कौशल प्रशिक्षण के अवसर नहीं हैं।,rural livelihood,7
I want to report that garbage is not being collected from our street regularly.,environment,4
The railway station does not have adequate accessibility facilities.,accessibility,0
Hospital mein patients ko bahut long waiting time face karna padta hai.,healthcare,5
मैं इस समस्या से परेशान हूं क्योंकि अस्पताल में मरीजों के लिए साफ पीने का पानी उपलब्ध नहीं है।,healthcare,5
Residents are facing an accessibility problem because the road has obstacles that make it difficult for wheelchair users to pass.,accessibility,0
किसानों के लिए कृषि मशीनरी की उपलब्धता बहुत कम है।,agriculture,1
किसानों को सरकारी कृषि योजनाओं की जानकारी समय पर नहीं मिलती है।,agriculture,1
Hamare house ke paas damaged electrical cable abhi tak replace nahi hui.,energy,3
The stairs in the public building do not have a proper handrail.,accessibility,0
Please register my complaint that the road has obstacles that make it difficult for wheelchair users to pass.,accessibility,0
ग्रामीण श्रमिकों को सरकारी आजीविका योजनाओं की जानकारी समय पर नहीं मिलती है।,rural livelihood,7
Exposed electrical wires residents ke liye safety risk create kar rahe hain.,energy,3
बुजुर्गों और दिव्यांग पैदल यात्रियों के लिए उचित बुनियादी सुविधाएं नहीं हैं।,urban development,8
Hamare area mein supply hone wale water mein visible dirt hai.,water related,9
School mein students ke liye enough desks aur benches nahi hain.,education,2
हमारे क्षेत्र में पेड़ों को काटा जा रहा है और उनकी जगह नए पेड़ नहीं लगाए जा रहे हैं।,environment,4
सरकारी कार्यालय में उचित कतार व्यवस्था नहीं है।,public administration,6
There are not enough public water taps in our area.,water related,9
Rural workers are not getting timely assistance during periods of unemployment.,rural livelihood,7
घरेलू खतरनाक कचरे को इकट्ठा करने की उचित व्यवस्था नहीं है।,environment,4
Local mandi mein farmers ke liye proper facilities nahi hain.,agriculture,1
Rural workers ko government livelihood schemes ki information time par nahi milti.,rural livelihood,7
Local jobs ki shortage ki wajah se hamare area ke log migrate kar rahe hain.,rural livelihood,7
Hamare area mein enough public water taps nahi hain.,water related,9
Please register my complaint that the community water tank is damaged and needs repair.,water related,9
There is a serious environmental issue: garbage is not being collected from our street regularly.,environment,4
Farmers in our area are facing a problem because the local agriculture office is not providing proper guidance to farmers.,agriculture,1
Nearby factories ka smoke hamare locality mein air pollution cause kar raha hai.,environment,4
I want to report that the public park does not have accessible paths for wheelchair users.,accessibility,0
Drainage water drinking water pipeline mein mix ho raha hai.,water related,9
Visually impaired pedestrians ke liye tactile path nahi hai.,accessibility,0
Hamare area mein enough public water taps nahi hain.,water related,9
There is no lift in the public building for people who cannot use stairs.,accessibility,0
रिहायशी इमारतों के पास खुले में कचरा डाला जा रहा है।,environment,4
The pedestrian crossing does not have an accessible signal.,accessibility,0
Patients are being asked to buy medicines that should be available at the hospital.,healthcare,5
The school has very limited computer facilities for students.,education,2
मुख्य सड़क का डिवाइडर टूट गया है और असुरक्षित है।,urban development,8
मैं इस समस्या से परेशान हूं क्योंकि हमारे क्षेत्र में खुले में बहुत अधिक कचरा फेंका जा रहा है।,environment,4
The garbage collection service is irregular in our area.,environment,4
The public office does not provide proper assistance to senior citizens.,public administration,6
Government hospital ke toilets dirty hain aur proper maintenance nahi hoti.,healthcare,5
Farmers ko crop insurance ka payment time par nahi mil raha hai.,agriculture,1
मैं इस समस्या से परेशान हूं क्योंकि मेरे क्षेत्र के सरकारी अस्पताल में पर्याप्त डॉक्टर नहीं हैं।,healthcare,5
हमारे मोहल्ले में पीने के पानी की कमी है।,water related,9
विभाग में दर्ज की गई बार-बार की शिकायतों का समाधान नहीं किया गया है।,public administration,6
There is very low water pressure in our locality.,water related,9
The drainage water is mixing with the drinking water supply.,water related,9
Hamare area ka transformer overloaded hai aur frequently trip karta hai.,energy,3
There is no accessible parking space near the public building.,accessibility,0
अस्पताल में मरीजों को बहुत लंबे समय तक इंतजार करना पड़ता है।,healthcare,5
अस्पताल की लैब समय पर जांच रिपोर्ट उपलब्ध नहीं कराती है।,healthcare,5
Railway station par adequate accessibility facilities nahi hain.,accessibility,0
The local mandi does not offer proper facilities for farmers.,agriculture,1
स्थानीय मंडी में किसानों के लिए उचित सुविधाएं नहीं हैं।,agriculture,1
यह एक गंभीर ऊर्जा संबंधी समस्या है: हमारे क्षेत्र में बार-बार बिजली कटौती होती है।,energy,3
Is road par pedestrians ke liye proper footpath nahi hai.,urban development,8
I want to report that the hospital does not have clean drinking water for patients.,healthcare,5
Important government notices are not displayed publicly.,public administration,6
There is a major water leakage on the main road.,water related,9
The community centre in our area is in poor condition.,urban development,8
The toilets in the school are dirty and not maintained.,education,2
There is a shortage of fertilizers at the local agricultural centre.,agriculture,1
Public works complete karne ke baad workers ko payment milne mein delay ho raha hai.,rural livelihood,7
Nearby factories ka smoke hamare locality mein air pollution cause kar raha hai.,environment,4
सरकारी कार्यालय में दिव्यांग लोगों के लिए सुलभ प्रवेश द्वार नहीं है।,accessibility,0
There is a serious agriculture-related issue: the local agriculture office is not providing proper guidance to farmers.,agriculture,1
Main is problem se pareshan hoon kyunki hamare locality mein frequent power cuts ho rahe hain.,energy,3
There is no proper queue management at the hospital.,healthcare,5
School mein basic science laboratory equipment available nahi hai.,education,2
Disabled students ke liye school mein adequate facilities nahi hain.,education,2
Hospital mein disabled people ke liye proper facilities nahi hain.,healthcare,5
Hamare village mein young people ke liye proper skill training opportunities nahi hain.,rural livelihood,7
Hospital laboratory time par reports provide nahi karti hai.,healthcare,5
Hamare locality mein several hours se electricity nahi hai.,energy,3
The village does not have proper skill training opportunities for young people.,rural livelihood,7
Ye ek serious urban development issue hai: newly constructed road par already cracks aa gaye hain.,urban development,8
I want to report that there are no proper public facilities in the newly developed area.,urban development,8
Road construction work kai months se incomplete pada hai.,urban development,8
हमारे क्षेत्र के किसानों को समस्या हो रही है क्योंकि हमारे खेतों को मुख्य बाजार से जोड़ने वाली सड़क बहुत खराब है।,agriculture,1
सरकारी सेवा काउंटर पर बहुत भीड़ रहती है और व्यवस्था खराब है।,public administration,6
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि हमारे क्षेत्र में खुले में बहुत अधिक कचरा फेंका जा रहा है।,environment,4
Hamare area mein enough public water taps nahi hain.,water related,9
बिजली का एक खराब खंभा अभी तक ठीक नहीं किया गया है।,energy,3
There is a serious healthcare issue: the diagnostic testing facility is not working properly.,healthcare,5
घरेलू खतरनाक कचरे को इकट्ठा करने की उचित व्यवस्था नहीं है।,environment,4
Ye ek serious healthcare issue hai: mere area ke government hospital mein enough doctors nahi hain.,healthcare,5
दृष्टिबाधित यात्रियों के लिए ऑडियो घोषणा की सुविधा नहीं है।,accessibility,0
Solar streetlights installed in our locality are not functioning.,energy,3
The school playground is damaged and cannot be used safely.,education,2
Residents in our area are facing a problem because the community water tank is damaged and needs repair.,water related,9
Municipal pipeline se residents ko dirty water mil raha hai.,water related,9
Main complaint register karna chahta hoon ki water supply timings irregular aur inconvenient hain.,water related,9
The divider on the main road is damaged and unsafe.,urban development,8
Please meri complaint register karein ki electricity meter installation request abhi tak process nahi hui hai.,energy,3
हमारे क्षेत्र में पानी का दबाव बहुत कम है।,water related,9
Please meri complaint register karein ki hamare farms ko main market se connect karne wali road bahut damaged hai.,agriculture,1
Garbage dumping area se bahut strong foul smell aa rahi hai.,environment,4
Village ka irrigation pump damaged hai aur abhi tak repair nahi hua.,agriculture,1
हमारे क्षेत्र की मुख्य सड़क पर बड़े-बड़े गड्ढे हैं।,urban development,8
Patients are being asked to buy medicines that should be available at the hospital.,healthcare,5
Rural youth ke liye nearby vocational training centre available nahi hai.,rural livelihood,7
अस्पताल में मरीजों की देखभाल के लिए पर्याप्त नर्सें नहीं हैं।,healthcare,5
सार्वजनिक सेवा काउंटर व्हीलचेयर उपयोगकर्ताओं के लिए बहुत ऊंचा है।,accessibility,0
People are burning garbage in the open and causing air pollution.,environment,4
हमारे घर के पास खराब बिजली की केबल अभी तक नहीं बदली गई है।,energy,3
Rural workers are not getting timely assistance during periods of unemployment.,rural livelihood,7
We are facing a problem because classes are being conducted in overcrowded rooms.,education,2
सार्वजनिक शौचालय में दिव्यांग लोगों के लिए उचित सुविधा नहीं है।,accessibility,0
शिक्षा विभाग ने स्कूल से जुड़ी बार-बार की शिकायतों का समाधान नहीं किया है।,education,2
The government procurement centre is not accepting crops regularly.,agriculture,1
The local pond is polluted with garbage and plastic.,environment,4
The toilets in the school are dirty and not maintained.,education,2
मरीजों को वे दवाइयां बाहर से खरीदने के लिए कहा जाता है जो अस्पताल में उपलब्ध होनी चाहिए।,healthcare,5
Patients ko woh medicines bahar se buy karni padti hain jo hospital mein available honi chahiye.,healthcare,5
There is a serious energy-related issue: there are frequent power cuts in our locality.,energy,3
"Footpath bahut uneven hai, jiski wajah se elderly aur disabled pedestrians ko problem hoti hai.",accessibility,0
मैं शिकायत दर्ज करना चाहता हूं कि मेरे क्षेत्र के किसानों को सिंचाई के लिए नियमित पानी नहीं मिल रहा है।,agriculture,1
The emergency services at the hospital are not available properly.,healthcare,5
बिजली का एक खराब खंभा अभी तक ठीक नहीं किया गया है।,energy,3
A damaged electricity pole has not been repaired.,energy,3
मैं इस समस्या से परेशान हूं क्योंकि नई बनी सड़क पर पहले से ही दरारें पड़ गई हैं।,urban development,8
ग्रामीण रोजगार योजना के तहत मजदूरों को समय पर मजदूरी नहीं मिल रही है।,rural livelihood,7
"हमारे क्षेत्र में समस्या यह है कि स्कूल में बिजली की आपूर्ति ठीक नहीं है, जिससे पढ़ाई प्रभावित होती है।",education,2
Main complaint register karna chahta hoon ki small farmers ke liye fertilizer prices bahut high hain.,agriculture,1
Farm workers in our village are not getting enough seasonal employment.,rural livelihood,7
The trees in our area are being cut without proper replacement.,environment,4
स्थानीय लोगों को समस्या हो रही है क्योंकि अस्पताल में जांच की सुविधा ठीक से काम नहीं कर रही है।,healthcare,5
The damaged electrical cable near our house has not been replaced.,energy,3
महत्वपूर्ण सरकारी सूचनाएं सार्वजनिक रूप से प्रदर्शित नहीं की जाती हैं।,public administration,6
मैं इस समस्या से परेशान हूं क्योंकि हमारे खेतों को मुख्य बाजार से जोड़ने वाली सड़क बहुत खराब है।,agriculture,1
मैं शिकायत दर्ज करना चाहता हूं कि सामुदायिक पानी की टंकी खराब है और उसकी मरम्मत की जरूरत है।,water related,9
There is a serious water-related issue: the drinking water pipeline is contaminated.,water related,9
School ke toilets bahut dirty hain aur unki maintenance nahi hoti.,education,2
Road expansion work ki wajah se residents ko unnecessary obstruction face karna pad raha hai.,urban development,8
हमारे क्षेत्र की सार्वजनिक सुविधा में बिजली की विश्वसनीय आपूर्ति नहीं है।,energy,3
School ke toilets bahut dirty hain aur unki maintenance nahi hoti.,education,2
Rural employment scheme ke under workers ko wages time par nahi mil rahi hain.,rural livelihood,7
यह एक गंभीर ऊर्जा संबंधी समस्या है: हमारे क्षेत्र की कई स्ट्रीट लाइटें काम नहीं कर रही हैं।,energy,3
Disabled students ke liye school mein adequate facilities nahi hain.,education,2
The school does not provide adequate facilities for students with disabilities.,education,2
हमारे क्षेत्र की सार्वजनिक पानी की टंकी नियमित रूप से नहीं भरी जाती है।,water related,9
The application submitted to the government office has not been processed.,public administration,6
स्थानीय सरकारी कार्यालय में उचित शिकायत निवारण डेस्क नहीं है।,public administration,6
The road expansion work has caused unnecessary obstruction for residents.,urban development,8
हमारी गली के पास बिजली का ट्रांसफॉर्मर बार-बार खराब हो जाता है।,energy,3
हमारे क्षेत्र में बिजली की आपूर्ति बहुत अनियमित है।,energy,3
Hamare area ke public dustbins garbage se overflow ho rahe hain.,environment,4
Pest attacks are damaging crops and there is no timely support.,agriculture,1
किसानों को मंडी में अपनी फसलों का उचित मूल्य नहीं मिल रहा है।,agriculture,1
Please meri complaint register karein ki water supply timings irregular aur inconvenient hain.,water related,9
There is very low water pressure in our locality.,water related,9
The area has very poor waste segregation facilities.,environment,4
The water supply is interrupted frequently in our area.,water related,9
Water is being wasted because of an unrepaired pipeline leak.,water related,9
मैं शिकायत दर्ज करना चाहता हूं कि छोटे ग्रामीण व्यवसायों को पर्याप्त सरकारी सहायता नहीं मिल रही है।,rural livelihood,7
There is a serious rural livelihood issue: there are not enough employment opportunities for people in our village.,rural livelihood,7
Please register my complaint that the application status is not being updated by the concerned department.,public administration,6
Officials submitted documents ki verification mein delay kar rahe hain.,public administration,6
स्थानीय तालाब कचरे और प्लास्टिक से प्रदूषित हो गया है।,environment,4
Roadside par construction waste dump kiya gaya hai.,environment,4
अस्पताल में आपातकालीन सेवाएं ठीक से उपलब्ध नहीं हैं।,healthcare,5
I want to report that the local agriculture office is not providing proper guidance to farmers.,agriculture,1
Ye ek serious public administration issue hai: residents ko government services ke baare mein clear information nahi milti.,public administration,6
I am facing an issue because the diagnostic testing facility is not working properly.,healthcare,5
There are not enough opportunities for rural artisans to sell their products.,rural livelihood,7
Important government notices are not displayed publicly.,public administration,6
कीटों के हमले से फसल खराब हो रही है और समय पर सहायता नहीं मिल रही है।,agriculture,1
हमारे क्षेत्र में नागरिक शिकायत दर्ज करने की स्पष्ट प्रक्रिया नहीं है।,public administration,6
Hamari street ke paas electricity transformer frequently fail ho raha hai.,energy,3
Local government employment scheme mein regularly work nahi milta hai.,rural livelihood,7
Pest attacks ki wajah se crops damage ho rahi hain aur timely support nahi mil raha.,agriculture,1
Public road ke paas proper street lighting nahi hai.,energy,3
ग्रामीण युवाओं के लिए पास में कोई व्यावसायिक प्रशिक्षण केंद्र नहीं है।,rural livelihood,7
गांव के युवाओं के लिए सस्ती कौशल विकास सुविधाएं उपलब्ध नहीं हैं।,rural livelihood,7
School ki building bahut kharab condition mein hai aur repair ki zarurat hai.,education,2
The residents are facing an issue because the electricity supply in the school is unreliable and affects classes.,education,2
Ye ek serious accessibility issue hai: government building ke entrance par wheelchair ke liye ramp nahi hai.,accessibility,0
Public office mein updated service timings display nahi kiye gaye hain.,public administration,6
स्कूल में छात्रों के लिए उचित स्वच्छता की व्यवस्था नहीं है।,education,2
Local government office mein proper grievance desk nahi hai.,public administration,6
Ye ek serious problem hai ki students ke liye school mein proper library facility nahi hai.,education,2
There are frequent voltage fluctuations damaging household appliances.,energy,3
The hand pump in our locality is broken and has not been repaired.,water related,9
There is a shortage of medicines at the government health centre.,healthcare,5
Public building ke paas accessible parking space nahi hai.,accessibility,0
कृषि के लिए बिजली की आपूर्ति बार-बार बाधित होती है।,agriculture,1
सार्वजनिक भवन की सीढ़ियों पर उचित हैंडरेल नहीं है।,accessibility,0
कृषि के लिए बिजली की आपूर्ति बार-बार बाधित होती है।,agriculture,1
The canal water supply to our village is irregular.,agriculture,1
"रात में स्ट्रीट लाइटें बंद रहती हैं, जिससे सड़क असुरक्षित हो जाती है।",energy,3
सार्वजनिक सड़क के पास उचित स्ट्रीट लाइट की व्यवस्था नहीं है।,energy,3
अस्पताल की लैब समय पर जांच रिपोर्ट उपलब्ध नहीं कराती है।,healthcare,5
I want to report that several streetlights in our area are not working.,energy,3
Unemployment ke time rural workers ko timely assistance nahi milti.,rural livelihood,7
There is no proper infrastructure for elderly and disabled pedestrians.,urban development,8
बाजार के पास की सड़क बहुत संकरी है और वहां नियमित जाम लगता है।,urban development,8
"Raat mein streetlights off rehti hain, jiski wajah se road unsafe hai.",energy,3
स्थानीय पार्क में कचरा और गंदगी फैली हुई है।,environment,4
हमारे क्षेत्र के खेल मैदान की तुरंत मरम्मत की जरूरत है।,urban development,8
Hamari street ke paas municipal water pipeline leak ho rahi hai.,water related,9
नगर निगम की पाइपलाइन से गंदा पानी आ रहा है।,water related,9
The school lacks basic science laboratory equipment.,education,2
Local health centre mein basic medical equipment available nahi hai.,healthcare,5
I want to report that the drinking water pipeline is contaminated.,water related,9
Farmers ke liye agricultural machinery ki availability bahut kam hai.,agriculture,1
I am facing an issue because there are not enough employment opportunities for people in our village.,rural livelihood,7
The local pond is polluted with garbage and plastic.,environment,4
The concerned department has not resolved the issue despite repeated requests.,public administration,6
स्कूल का खेल मैदान खराब है और सुरक्षित रूप से उपयोग नहीं किया जा सकता।,education,2
स्थानीय सरकारी रोजगार योजना के तहत नियमित रूप से काम नहीं मिलता है।,rural livelihood,7
Farmers are not receiving crop insurance payments on time.,agriculture,1
The application submitted to the government office has not been processed.,public administration,6
The residents are facing an issue because the electricity supply in the school is unreliable and affects classes.,education,2
"Hamare area mein issue ye hai ki school ki electricity supply reliable nahi hai, jiski wajah se classes affect hoti hain.",education,2
There is no proper token system at the public service centre.,public administration,6
सार्वजनिक भवन के पास दिव्यांग लोगों के लिए आरक्षित पार्किंग नहीं है।,accessibility,0
यह एक गंभीर सार्वजनिक प्रशासन संबंधी समस्या है: स्थानीय प्रशासन ने निवासियों के अनुरोधों का जवाब नहीं दिया है।,public administration,6
"रात में स्ट्रीट लाइटें बंद रहती हैं, जिससे सड़क असुरक्षित हो जाती है।",energy,3
हमारे क्षेत्र का हैंडपंप खराब है और उसकी मरम्मत नहीं हुई है।,water related,9
Roadside par construction waste dump kiya gaya hai.,environment,4
स्वास्थ्य केंद्र में मरीजों के लिए पर्याप्त बेड नहीं हैं।,healthcare,5
Farmers in our area are facing a problem because farmers in my area are not getting a reliable supply of irrigation water.,agriculture,1
The local health centre does not have basic medical equipment.,healthcare,5
हमारे क्षेत्र में रीसाइक्लिंग की उचित सुविधा उपलब्ध नहीं है।,environment,4
The local park is filled with litter and waste.,environment,4
बाजार के पास कचरे के बहुत सारे ढेर लगे हुए हैं।,environment,4
There is very low water pressure in our locality.,water related,9
There are large potholes on the main road in our area.,urban development,8
Officials submitted documents ki verification mein delay kar rahe hain.,public administration,6
Students ke liye school mein proper sanitation facility nahi hai.,education,2
There is a serious public administration issue: the government office in our area does not provide services on time.,public administration,6
कृपया मेरी शिकायत दर्ज करें कि छोटे किसानों के लिए खाद की कीमतें बहुत अधिक हैं।,agriculture,1
There is a major water leakage on the main road.,water related,9
There are not enough opportunities for rural artisans to sell their products.,rural livelihood,7
Farmers ko crop procurement ke liye bahut long wait karna padta hai.,agriculture,1
There is poor drainage along the main road in our locality.,urban development,8
The local administration has not addressed the shortage of livelihood opportunities in our village.,rural livelihood,7
Please register my complaint that ambulance services are not available when urgently needed.,healthcare,5
The electricity transformer near our street is frequently failing.,energy,3
किसानों को फसल की सरकारी खरीद के लिए बहुत देर तक इंतजार करना पड़ता है।,agriculture,1
हमारे समुदाय में बिजली का कनेक्शन पर्याप्त नहीं है।,energy,3
Hamare village mein young people ke liye proper skill training opportunities nahi hain.,rural livelihood,7
The electricity transformer near our street is frequently failing.,energy,3
The hospital does not have proper facilities for people with disabilities.,healthcare,5
Ye ek serious agriculture-related issue hai: mere area ke farmers ko irrigation ke liye regular water supply nahi mil rahi hai.,agriculture,1
हमारे क्षेत्र में बिजली की आपूर्ति बहुत अनियमित है।,energy,3
Public office ke officials working hours mein frequently available nahi hote.,public administration,6
The agricultural electricity supply is frequently interrupted.,agriculture,1
There is a serious urban development issue: the roads in our locality are badly damaged and need repair.,urban development,8
Main complaint karna chahta hoon ki school mein students ke liye clean drinking water available nahi hai.,education,2
Unemployment ke time rural workers ko timely assistance nahi milti.,rural livelihood,7
सरकारी क्लिनिक में डॉक्टरों के आने का समय नियमित नहीं है।,healthcare,5
बाजार के पास कचरे के बहुत सारे ढेर लगे हुए हैं।,environment,4
हमारे क्षेत्र के किसानों को समस्या हो रही है क्योंकि स्थानीय कृषि कार्यालय किसानों को उचित मार्गदर्शन नहीं दे रहा है।,agriculture,1
हमारे क्षेत्र में कई दिनों से पानी की आपूर्ति नहीं हुई है।,water related,9
School mein students ke liye computer facility bahut limited hai.,education,2
"Footpath bahut uneven hai, jiski wajah se elderly aur disabled pedestrians ko problem hoti hai.",accessibility,0
Hamare area ki public water tank regularly fill nahi hoti hai.,water related,9
हमारे क्षेत्र में नागरिक शिकायत दर्ज करने की स्पष्ट प्रक्रिया नहीं है।,public administration,6
I want to complain that the school does not have clean drinking water for students.,education,2
मैं इस समस्या से परेशान हूं क्योंकि हमारे क्षेत्र में बार-बार बिजली कटौती होती है।,energy,3
Public office ke officials working hours mein frequently available nahi hote.,public administration,6
Open waste burning ki wajah se hamare area ki air quality bahut poor ho gayi hai.,environment,4
There are parked vehicles blocking the accessible footpath.,accessibility,0
The canal water supply to our village is irregular.,agriculture,1
Main road ka divider damaged hai aur unsafe hai.,urban development,8
Municipal water supply inadequate hone ki wajah se residents ko water buy karna pad raha hai.,water related,9
पाइपलाइन की लीकेज ठीक नहीं होने के कारण पानी बर्बाद हो रहा है।,water related,9
There are no audio announcements for visually impaired passengers.,accessibility,0
Rural youth ke liye nearby vocational training centre available nahi hai.,rural livelihood,7
Hamare village mein canal water supply irregular hai.,agriculture,1
Farmers ko mandi mein crops ka fair price nahi mil raha hai.,agriculture,1
The canal water supply to our village is irregular.,agriculture,1
Hamare area ki public water tank regularly fill nahi hoti hai.,water related,9
The water supplied to our locality contains visible dirt.,water related,9
There is a shortage of fertilizers at the local agricultural centre.,agriculture,1
There is a lot of plastic waste on the roadside.,environment,4
Main is problem se pareshan hoon kyunki concerned department application status update nahi kar raha hai.,public administration,6
स्थानीय स्वास्थ्य केंद्र में बुनियादी चिकित्सा उपकरण नहीं हैं।,healthcare,5
यह एक गंभीर कृषि संबंधी समस्या है: मेरे क्षेत्र के किसानों को सिंचाई के लिए नियमित पानी नहीं मिल रहा है।,agriculture,1
यह एक गंभीर पर्यावरण संबंधी समस्या है: हमारी गली से नियमित रूप से कचरा नहीं उठाया जाता है।,environment,4
Please register my complaint that the government office in our area does not provide services on time.,public administration,6
स्वास्थ्य केंद्र का प्रतीक्षालय बहुत अधिक भीड़भाड़ वाला है।,healthcare,5
The drainage water is mixing with the drinking water supply.,water related,9
Hospital mein emergency services properly available nahi hain.,healthcare,5
The government office staff are not responding to citizen queries.,public administration,6
कृपया मेरी शिकायत दर्ज करें कि हमारे खेतों को मुख्य बाजार से जोड़ने वाली सड़क बहुत खराब है।,agriculture,1
Pedestrian crossing par accessible signal available nahi hai.,accessibility,0
Bad weather ke time power supply unstable ho jati hai.,energy,3
I want to report that the electricity meter installation request has not been processed.,energy,3
Hamare area ke farmers ko problem ho rahi hai kyunki mere area ke farmers ko irrigation ke liye regular water supply nahi mil rahi hai.,agriculture,1
Please meri complaint register karein ki hamare area ki kai streetlights work nahi kar rahi hain.,energy,3
The tap water has a bad smell and is not safe to drink.,water related,9
हमारे क्षेत्र में पानी का दबाव बहुत कम है।,water related,9
I am facing an issue because the local agriculture office is not providing proper guidance to farmers.,agriculture,1
Public office ke officials working hours mein frequently available nahi hote.,public administration,6
Main is problem se pareshan hoon kyunki hospital mein patients ke liye clean drinking water available nahi hai.,healthcare,5
There is no proper system for collecting household hazardous waste.,environment,4
मैं इस समस्या से परेशान हूं क्योंकि मेरे क्षेत्र के किसानों को सिंचाई के लिए नियमित पानी नहीं मिल रहा है।,agriculture,1
Please register my complaint that there is no wheelchair ramp at the entrance of the government building.,accessibility,0
Ye ek serious water-related issue hai: hamare locality mein regular water supply nahi hai.,water related,9
The road expansion work has caused unnecessary obstruction for residents.,urban development,8
Open waste burning ki wajah se hamare area ki air quality bahut poor ho gayi hai.,environment,4
The hand pump in our locality is broken and has not been repaired.,water related,9
हमारे समुदाय में बिजली का कनेक्शन पर्याप्त नहीं है।,energy,3
सरकारी सेवा काउंटर पर बहुत भीड़ रहती है और व्यवस्था खराब है।,public administration,6
The newly developed residential area lacks basic civic infrastructure.,urban development,8
There is a serious agriculture-related issue: farmers in my area are not getting a reliable supply of irrigation water.,agriculture,1
सड़क चौड़ीकरण के काम से स्थानीय लोगों को अनावश्यक परेशानी हो रही है।,urban development,8
